Timestamp,Address,Celsius Setpoint,Celsius Real
2024-08-20 15:37:06,0x2612,25.05000000000001,21.950000000000045
2024-08-20 15:37:06,0x2614,16.05000000000001,21.950000000000045
2024-08-20 15:37:06,0x2616,10.050000000000011,21.350000000000023
2024-08-20 15:37:06,0x261e,10.050000000000011,21.75
2024-08-20 15:37:06,0x261a,10.050000000000011,20.950000000000045
2024-08-20 15:37:06,0x2622,10.050000000000011,21.05000000000001
2024-08-20 15:37:06,0x2617,10.050000000000011,21.850000000000023
2024-08-20 15:37:06,0x261f,10.050000000000011,20.950000000000045
2024-08-20 15:37:06,0x261b,10.050000000000011,21.55000000000001
2024-08-20 15:37:06,0x2623,10.050000000000011,20.350000000000023
